year,low_mid,low_high,mid_high
2000,0.7900435405131631,0.8356422520934885,0.814579488026518
2001,0.8170871603364099,0.8245814975215696,0.7851640594134771
2002,0.8376148429825337,0.8105194774614116,0.8039355304135892
2003,0.8349392048317836,0.8135208337367367,0.8170797627461125
2004,0.7812863669200278,0.8062253851407871,0.7952934476346541
2005,0.8261673177740393,0.8754912146302901,0.8224802771705608
2006,0.8402969244571963,0.8728092181886359,0.8298387007512672
2007,0.8394473808374366,0.8866458644565988,0.854085360434411
2008,0.8622036500578837,0.870710372940451,0.885173555083485
2009,0.855305778969745,0.8501059717192895,0.8959576793665394
2010,0.8501517883102082,0.8526374344637028,0.8822577533830975
2011,0.8753533773564727,0.8756770585569374,0.9129631886786306
2012,0.8949345576144077,0.884268230336684,0.9015599361565316
2013,0.9009162118745071,0.915936267099515,0.9018668542754548
2014,0.8891300319795958,0.8876066172372736,0.9291375382062306
2015,0.8313098592050748,0.836718120283056,0.9128127629815832
2016,0.8607337113850179,0.8343189326722563,0.9169515740386421
2017,0.8871757177342228,0.9039579212287492,0.9443977285021761
2018,0.8490729319270184,0.8918922987722744,0.9285642484079846
2019,0.885156851807982,0.8748974817699746,0.9200856401580021
2020,0.9109333268918357,0.9004586178377522,0.9424338389164093
2021,0.8277584282654001,0.7708065608881569,0.9203640238188658
2022,0.8450690136397807,0.8480868635885682,0.9235828777196851
2023,0.899378923149256,0.8965637693133752,0.9189137684826083
