year,low_mid,low_high,mid_high
2000,0.8323849679976534,0.8774124007922522,0.9302671569334986
2001,0.8136605687407975,0.8604810445792693,0.9227772763911826
2002,0.8381372273487562,0.8493076120513308,0.9309908245013285
2003,0.8269652960297056,0.8384459659678698,0.8995396511835168
2004,0.794154369616861,0.7778768552593307,0.8905727802040138
2005,0.8258738300819845,0.814666688547157,0.8582560313115672
2006,0.8691965838538037,0.8544529389849044,0.9056729899544365
2007,0.757503406556658,0.7542606918731416,0.9025462136266501
2008,0.6386591206681641,0.6647614792995268,0.9014923020209281
2009,0.8027331853344805,0.8154623747593372,0.9122460111354599
2010,0.7311744229581613,0.6710243387340015,0.9032319808562029
2011,0.7922614985175829,0.7926453559820101,0.9452313788785577
2012,0.6355298253902275,0.6422354157386351,0.9254936874970038
2013,0.8681387890589006,0.859752883575998,0.9242566167547145
2014,0.866044803273694,0.844620521100524,0.9190849788874869
2015,0.8405280534998798,0.8292348839579399,0.8983380981356948
2016,0.7844658081035761,0.7476892157374153,0.8972835600528344
2017,0.8764540251362132,0.8716662019398309,0.9276683742039422
2018,0.7808469852372676,0.7857767137664045,0.9319758028278241
2019,0.817630047196269,0.7558067455451675,0.915583403490484
2020,0.7773559792763538,0.7469276745926866,0.941690138511848
2021,0.8198795021421069,0.7993358219070038,0.9249382599993369
2022,0.8521422913353582,0.8583820157209544,0.9265905529749241
2023,0.8081109122150798,0.8323931364663195,0.8777394935903907
